                                          title                                               price                  colors
87                          Nike Full Force Low                                                 $95   Available in 5 Colors
88                          Nike Flex Control 4            current price $64.97, original price $70   Available in 3 Colors
89                          Air Jordan 1 Mid SE                                                $135   Available in 5 Colors
90                  Nike Air Force 1 Low By You                                                $135   Available in 8 Colors
91                   Nike Air Max Flyknit Racer   current price $89.97, original price $160 43% off   Available in 2 Colors
92            Nike Phantom GX Academy MG By You                                                $125   Available in 6 Colors
93              Nike Air Max 95 Unlocked By You                                                $215   Available in 7 Colors
94                                   Nike Vista    current price $38.97, original price $60 35% off    Available in 1 Color
95                                     Ja 1 ASW                                                $140    Available in 1 Color
96                            Jordan Max Aura 5                                                $130   Available in 8 Colors
97                         Nike Air Force 1 '07  current price $114.97, original price $135 14% off    Available in 1 Color
98                 Nike Mercurial Vapor 15 Club                                                 $65   Available in 2 Colors
99                            Nike Rival Sprint                                                 $75   Available in 6 Colors
100                       Nike Air Zoom Victory                                                $190   Available in 3 Colors
101                                 Nike SFB B1                                                $165    Available in 1 Color
102                           Nike Court Legacy                                                 $70   Available in 3 Colors
103                              Nike Initiator                                                 $75   Available in 3 Colors
104         Nike Offcourt (San Francisco 49ers)                                                 $40    Available in 1 Color
105                             Nike Go FlyEase                                                $125   Available in 2 Colors
106                 Air Jordan 1 Retro Low Slip                                                $110   Available in 3 Colors
107    Nike Offcourt (NFL Los Angeles Chargers)                                                 $40  Available in 12 Colors
108                                     Spelman    current price $28.97, original price $40 27% off    Available in 1 Color
109                   Nike Phantom Luna 2 Elite                                                $285   Available in 2 Colors
110                            Nike SB Force 58                                                 $80   Available in 6 Colors
111                            Nike G.T. Jump 2                                                $180   Available in 4 Colors
112                                Nike V2K Run                                                $110   Available in 6 Colors
113                    Nike Offcourt (Kentucky)    current price $28.97, original price $40 27% off    Available in 1 Color
114                           Nike MC Trainer 2                                                 $80   Available in 7 Colors
115                            Nike Air Penny 2  current price $114.97, original price $210 45% off   Available in 6 Colors
116  Nike Pegasus 40 (NFL Jacksonville Jaguars)                                              $82.97  Available in 16 Colors
117            Nike Air Zoom Victory Tour 3 NRG  current price $131.97, original price $210 37% off   Available in 2 Colors
118                           Air Pegasus '89 G                                                $120   Available in 5 Colors
119                              Nike Griffey 2  current price $127.97, original price $150 14% off    Available in 1 Color
